Row No,PC,Opcode,Function,Line No,File,Directory,Cycles,Status
1,0x700A3C96,0x00002000,tm_synchronization_processing_thread_0_entry,104,tm_synchronization_processing_test.c,..,0,Start of trace
2,0x700A599C,0xE24EE004,n/a,,n/a,n/a,1,Entered debug state when halting debug-mode is enabled
3,0x700A59A0,0xE52DE004,n/a,,n/a,n/a,2,
4,0x700A59A4,0xE14FE000,n/a,,n/a,n/a,3,
5,0x700A59A8,0xE52DE004,n/a,,n/a,n/a,4,
6,0x700A59AC,0xF1020013,n/a,,n/a,n/a,5,
7,0x700A59B0,0xE92D101F,n/a,,n/a,n/a,6,
8,0x700A59B4,0xE59F3118,n/a,,n/a,n/a,7,
9,0x700A59B8,0xE5931000,n/a,,n/a,n/a,8,
10,0x700A59BC,0xE2814001,n/a,,n/a,n/a,9,
11,0x700A59C0,0xE5834000,n/a,,n/a,n/a,10,
12,0x700A59C4,0xEEF10A10,n/a,,n/a,n/a,11,
13,0x700A59C8,0xED2D0B20,n/a,,n/a,n/a,12,
14,0x700A59CC,0xE52D0004,n/a,,n/a,n/a,13,
15,0x700A59D0,0xE1A0200D,n/a,,n/a,n/a,14,
16,0x700A59D4,0xE2022004,n/a,,n/a,n/a,15,
17,0x700A59D8,0xE04DD002,n/a,,n/a,n/a,16,
18,0x700A59DC,0xE92D401F,n/a,,n/a,n/a,17,
19,0x700A59E0,0xE59F10F0,n/a,,n/a,n/a,18,
20,0x700A59E4,0xE12FFF31,n/a,,n/a,n/a,19,
21,0x700A5550,0x0000B580,HwiP_irq_handler_c,115,HwiP_armv7r_handlers_freertos.c,dpl/r5,20,
22,0x700A5552,0x0000B086,HwiP_irq_handler_c,115,HwiP_armv7r_handlers_freertos.c,dpl/r5,21,
23,0x700A5554,0x0000A804,HwiP_irq_handler_c,115,HwiP_armv7r_handlers_freertos.c,dpl/r5,22,
24,0x700A5556,0xF000F843,HwiP_irq_handler_c,125,HwiP_armv7r_handlers_freertos.c,dpl/r5,23,
25,0x700A55E0,0x0000B084,HwiP_getIRQ,203,nortos/dpl/r5/HwiP_armv7r_vim.h,/nightlybuilds/mcupsdk_internal/jenkins/mcu_plus_sdk_am243x_10_00_00_20/source/kernel,24,
26,0x700A55E2,0x00009003,HwiP_getIRQ,203,nortos/dpl/r5/HwiP_armv7r_vim.h,/nightlybuilds/mcupsdk_internal/jenkins/mcu_plus_sdk_am243x_10_00_00_20/source/kernel,25,
27,0x700A55E4,0xF04F30FF,HwiP_getIRQ,203,nortos/dpl/r5/HwiP_armv7r_vim.h,/nightlybuilds/mcupsdk_internal/jenkins/mcu_plus_sdk_am243x_10_00_00_20/source/kernel,26,
28,0x700A55E8,0x00009001,HwiP_getIRQ,205,nortos/dpl/r5/HwiP_armv7r_vim.h,/nightlybuilds/mcupsdk_internal/jenkins/mcu_plus_sdk_am243x_10_00_00_20/source/kernel,27,
29,0x700A55EA,0x00009903,HwiP_getIRQ,208,nortos/dpl/r5/HwiP_armv7r_vim.h,/nightlybuilds/mcupsdk_internal/jenkins/mcu_plus_sdk_am243x_10_00_00_20/source/kernel,28,
30,0x700A55EC,0x00002000,HwiP_getIRQ,208,nortos/dpl/r5/HwiP_armv7r_vim.h,/nightlybuilds/mcupsdk_internal/jenkins/mcu_plus_sdk_am243x_10_00_00_20/source/kernel,29,
31,0x700A55EE,0x00006008,HwiP_getIRQ,208,nortos/dpl/r5/HwiP_armv7r_vim.h,/nightlybuilds/mcupsdk_internal/jenkins/mcu_plus_sdk_am243x_10_00_00_20/source/kernel,30,
32,0x700A55F0,0xF64740D0,HwiP_getIRQ,210,nortos/dpl/r5/HwiP_armv7r_vim.h,/nightlybuilds/mcupsdk_internal/jenkins/mcu_plus_sdk_am243x_10_00_00_20/source/kernel,31,
33,0x700A55F4,0xF2C7000A,HwiP_getIRQ,210,nortos/dpl/r5/HwiP_armv7r_vim.h,/nightlybuilds/mcupsdk_internal/jenkins/mcu_plus_sdk_am243x_10_00_00_20/source/kernel,32,
34,0x700A55F8,0x00006800,HwiP_getIRQ,210,nortos/dpl/r5/HwiP_armv7r_vim.h,/nightlybuilds/mcupsdk_internal/jenkins/mcu_plus_sdk_am243x_10_00_00_20/source/kernel,33,
35,0x700A55FA,0x00003020,HwiP_getIRQ,210,nortos/dpl/r5/HwiP_armv7r_vim.h,/nightlybuilds/mcupsdk_internal/jenkins/mcu_plus_sdk_am243x_10_00_00_20/source/kernel,34,
36,0x700A55FC,0x00009002,HwiP_getIRQ,210,nortos/dpl/r5/HwiP_armv7r_vim.h,/nightlybuilds/mcupsdk_internal/jenkins/mcu_plus_sdk_am243x_10_00_00_20/source/kernel,35,
37,0x700A55FE,0x00009802,HwiP_getIRQ,211,nortos/dpl/r5/HwiP_armv7r_vim.h,/nightlybuilds/mcupsdk_internal/jenkins/mcu_plus_sdk_am243x_10_00_00_20/source/kernel,36,
38,0x700A5600,0x00006800,HwiP_getIRQ,211,nortos/dpl/r5/HwiP_armv7r_vim.h,/nightlybuilds/mcupsdk_internal/jenkins/mcu_plus_sdk_am243x_10_00_00_20/source/kernel,37,
39,0x700A5602,0x00009000,HwiP_getIRQ,211,nortos/dpl/r5/HwiP_armv7r_vim.h,/nightlybuilds/mcupsdk_internal/jenkins/mcu_plus_sdk_am243x_10_00_00_20/source/kernel,38,
40,0x700A5604,0xF89D0003,HwiP_getIRQ,213,nortos/dpl/r5/HwiP_armv7r_vim.h,/nightlybuilds/mcupsdk_internal/jenkins/mcu_plus_sdk_am243x_10_00_00_20/source/kernel,39,
41,0x700A5608,0x00000600,HwiP_getIRQ,213,nortos/dpl/r5/HwiP_armv7r_vim.h,/nightlybuilds/mcupsdk_internal/jenkins/mcu_plus_sdk_am243x_10_00_00_20/source/kernel,40,
42,0x700A560A,0x00002800,HwiP_getIRQ,213,nortos/dpl/r5/HwiP_armv7r_vim.h,/nightlybuilds/mcupsdk_internal/jenkins/mcu_plus_sdk_am243x_10_00_00_20/source/kernel,41,
43,0x700A560C,0x0000D508,HwiP_getIRQ,213,nortos/dpl/r5/HwiP_armv7r_vim.h,/nightlybuilds/mcupsdk_internal/jenkins/mcu_plus_sdk_am243x_10_00_00_20/source/kernel,42,
44,0x700A560E,0x0000E7FF,HwiP_getIRQ,213,nortos/dpl/r5/HwiP_armv7r_vim.h,/nightlybuilds/mcupsdk_internal/jenkins/mcu_plus_sdk_am243x_10_00_00_20/source/kernel,43,
45,0x700A5610,0x00009800,HwiP_getIRQ,215,nortos/dpl/r5/HwiP_armv7r_vim.h,/nightlybuilds/mcupsdk_internal/jenkins/mcu_plus_sdk_am243x_10_00_00_20/source/kernel,44,
46,0x700A5612,0xF36F205F,HwiP_getIRQ,215,nortos/dpl/r5/HwiP_armv7r_vim.h,/nightlybuilds/mcupsdk_internal/jenkins/mcu_plus_sdk_am243x_10_00_00_20/source/kernel,45,
47,0x700A5616,0x00009903,HwiP_getIRQ,215,nortos/dpl/r5/HwiP_armv7r_vim.h,/nightlybuilds/mcupsdk_internal/jenkins/mcu_plus_sdk_am243x_10_00_00_20/source/kernel,46,
48,0x700A5618,0x00006008,HwiP_getIRQ,215,nortos/dpl/r5/HwiP_armv7r_vim.h,/nightlybuilds/mcupsdk_internal/jenkins/mcu_plus_sdk_am243x_10_00_00_20/source/kernel,47,
49,0x700A561A,0x00002000,HwiP_getIRQ,215,nortos/dpl/r5/HwiP_armv7r_vim.h,/nightlybuilds/mcupsdk_internal/jenkins/mcu_plus_sdk_am243x_10_00_00_20/source/kernel,48,
50,0x700A561C,0x00009001,HwiP_getIRQ,216,nortos/dpl/r5/HwiP_armv7r_vim.h,/nightlybuilds/mcupsdk_internal/jenkins/mcu_plus_sdk_am243x_10_00_00_20/source/kernel,49,
51,0x700A561E,0x0000E7FF,HwiP_getIRQ,217,nortos/dpl/r5/HwiP_armv7r_vim.h,/nightlybuilds/mcupsdk_internal/jenkins/mcu_plus_sdk_am243x_10_00_00_20/source/kernel,50,
52,0x700A5620,0x00009801,HwiP_getIRQ,218,nortos/dpl/r5/HwiP_armv7r_vim.h,/nightlybuilds/mcupsdk_internal/jenkins/mcu_plus_sdk_am243x_10_00_00_20/source/kernel,51,
